Day,Slot,Session ,
Monday,9:00-10:30,Welcome and introductions: experiments examples,Lecture 1
 ,10:30-11:15,Exercise Part A,
,11:15 - 11:30:00 AM,Short Break,Exercise
,11:30-13:00,The Fundamental Problem of Causal Inference,Lecture 2
,,,
,13:00-14:00,Lunch,
,14:00-15:00,Exercise Part B,Exercise
,15:00-15:30,Feedback / discussion,Discussion
,15:30-16:15,DeclareDesign ,Lecture 3
,16:15 - 16:30,Break,
,16:15-17:45,Randomization 1,Lecture 4 f
,,,Lecture 4 e
,17:45-18:00,Wrap up,
,19:00,Group Dinner,
,,,
,,,
Tuesday,9:00-9:30,Quiz and review,
,9:30-10:30,Introduction to R + Randomizing with R,Lecture 5
,10:30-10:45,Break,
,10:45-12:00,Randomization 2: Types of designs,Lecture 6 f
,,,Lecture 6 e
,12:00-13:00,RD Form in groups,Activity
,13:00-14:00,Lunch,
,14:00-15:30,Estimation/Statistical Inference 1,Lecture 7 f
,,,Lecture 7 e
,15:30-16:30,"Estimation/Statistical Inference, with R exercise",Activity
,,,
,16:30-16:45,Break,
,16:45-17:45,Workshop ,Activity
,17:45-18:00,Wrap up,
,,,
Wedensday,9:00-9:30,Quiz,
,9:30-11:00,Estimation/Statistical Inference 2,Lecture 8 f
,,,Lecture 8 e
,11:00-11:15,Break,
,11:15-12:30,Statistical Power,Lecture 9f
,,,Lecture 9e
,12:30-13:30,Lunch,
,13:30-14:30,Ethics,Lecture 10
,14:30-15:00,Presenting and interpreting  experimental designs and results,Lecture 11
,15:00-18:00,Workshop,
,,,
,,,
Thursday,9:00-9:30,Quiz,
,9:30-10:45,Threats to Causal Inference,Lecture 12 f
,,,Lecture 12 e
,10:45-11:00,Break,
,11:00-12:00,Life cycle,Lecture 13
,12:00-13:00,Grant writing,Lecture 14
,13:00-14:00,Lunch,
,14:00-18:00,Workshop and Design Clinic ,
,,,
Friday,9:00-11:30,Presentations by language group (40 mins per group x 3 groups x 2 languages),
,11:30 - 11:45,Break,
,11:45 -12:15,Feedback session,
,12:15 - 13:00,"Next Steps,  grants opportunities",Lecure 15
,13:00-14:00,Lunch,
,15:00,Celebration! ,
